Fund Slug,Fund Name,Attempted At,Outcome,Announce Date,Source URL,Notes
finca-ventures,FINCA Ventures,2026-05-04,success_same_day,2018-08-20,https://www.prnewswire.com/news-releases/finca-international-launches-finca-ventures-an-impact-investing-initiative-300698949.html,"PRNewswire 2018-08-20: ""FINCA International announced the launch of FINCA Ventures, an impact investing platform..."" Balance-sheet programme (no external LPs to court), so the public unveiling of the named platform IS the announce/launch — no prior public reference to ""FINCA Ventures"" as a named entity exists. Release notes platform was operating internally for 18 months prior, but per protocol announce_date = first public-record date. Primary finca.org URL is WAF-blocked; PRNewswire mirror is the readable primary. Corroborated by FinDev Gateway re-pub 2018-09-07."
blueorchard-microfinance-fund,BlueOrchard Microfinance Fund,2026-05-04,not_in_public_record,,,"BOMF is the same vehicle as the 1998 Dexia Micro-Credit Fund (DMCF) — Luxembourg SICAV registered 1998 by Dexia BIL; BlueOrchard SA founded 2001 specifically to manage it. Pre-modern-press-archive vintage; all accessible sources state only 'registered in Luxembourg in 1998' without month/day-precision. The 1998-09-01 month-only first_close on file likely corresponds to SICAV registration itself — fund-predates-its-own-GP structure means no conventional 'manager announces fund' press cycle exists. URLs: https://www.blueorchard.com/news-insights/ ; https://case.hks.harvard.edu/blueorchard-finance-connecting-microfinance-to-capital-markets/ ; https://www.microcapital.org/microfinance-funds-universe/testing/dexia-microcredit-fund/"
symbiotics-sgb-fund,Symbiotics SGB Fund,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: no fund matching 'Symbiotics SGB Fund' as manager=Symbiotics found in public record. Symbiotics' 2014-2015 SICAV launches are SESF, EIBF, GFIF — none branded SGB. The only fund matching the SGB / ~$100m / 2015 / Africa+Asia+LatAm profile is the GroFin SGB Fund (manager: GroFin; partners: Shell Foundation, KfW, Norfund, DGGF), publicly announced 2015-09-14 (PRNewswire) with official launch ceremony 2015-09-23 — both AFTER the 2015-05-01 first_close on file, suggesting that first_close date is also wrong. Recommend operator triage manager attribution before announce-date enrichment. URLs: https://www.prnewswire.com/news-releases/grofin-launches-fund-to-support-growth-of-small-and-growing-businesses-in-africa-527551931.html ; https://symbioticsgroup.com/news/ (403); https://www.africaglobalfunds.com/news/private-equity/fundraising/grofin-launches-grofin-sgb-fund-for-africa/"
calvert-impact-community-note,Calvert Impact Community Investment Note,2026-05-04,not_in_public_record,,,"Year-precision only in primary sources: 'launched in 1995' / 'founded in 1995'. The phrase 'October 1995' appears in Google search-result snippets but does not appear in the body text of the underlying primary articles when fetched. SEC EDGAR pre-1996 filing search did not surface a Calvert Foundation registration within the fetch budget. Live calvertimpact.org and ImpactAlpha returned 403; current prospectus PDF unparseable. Recommend keeping first_close_date 1995-01-01 as year-precision placeholder (it is itself not month/day-real). URLs: https://ssir.org/articles/entry/investing_in_change ; https://greenamerica.org/story/calvert-foundation ; https://www.virtuevest.com/investments/calvert-community-investment-note"
goodwell-umunthu-ii,Goodwell uMunthu Fund II,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: real announce IS in public record (2022-11, NextBillion: 'Today, Goodwell Investments B.V. launched their most ambitious institutional investment fund yet, uMunthu II'; cluster Nov 21-28 2022 across Techloy, Incubees, Tech in Africa) but YAML's first_close_date (2020-01-01) and vintage (2020) are wrong placeholders — actual first close was June 2023 (€57m, per Impact Investor). Adding announce_date 2022-11 against current first_close 2020-01-01 would produce negative timeline_days. Operator must correct vintage→2022, first_close_date→2023-06 (or month-precision), then delete this CSV row to re-enrich. URLs: https://nextbillion.net/news/goodwell-launches-e150-million-umunthu-ii-fund-to-ignite-inclusive-business-growth-in-africa/ ; https://impact-investor.com/africa-focused-umunthu-ii-fund-reaches-e57m-first-close/ ; https://goodwell.nl/fund/umunthu-ii/"
leapfrog-emerging-consumer-iii,LeapFrog Emerging Consumer Fund III,2026-05-04,not_in_public_record,,,"Public record clusters around the May 2019 close announcement (LeapFrog GP press release 2019-05-09 ""Breaks Impact Investing Record"" reports the 00m raise as already past target, i.e. announces the close). Earliest dated trace is EIB project pipeline 20180763 release date 2019-02-18 (LP-side procurement disclosure, signature 2019-05-31), not a GP launch. PEI 2019-05-09 says LeapFrog ""wrapped up the fundraising process"". leapfroginvest.com/news returned HTTP 410. URLs: https://www.eib.org/en/projects/all/20180763 ; https://www.privateequityinternational.com/leapfrog-hauls-700m-third-fund/ ; https://www.businesswire.com/news/home/20190509006034/en/LeapFrog-Breaks-Impact-Investing-Record-with-700M-Emerging-Markets-Fund"
goodenergies-glassgate,GoodEnergies / GlassGate Energy Access,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: entry attribution itself appears wrong. goodenergies.com 307-redirects to Porticus (Brenninkmeijer foundation, not a PE fund). Good Energies Capital (Brenninkmeijer/COFRA family vehicle, not Klingenstein) rebranded to Bregal Energy in June 2012, four years before the 2016 vintage on file. ""GlassGate"" returns only Smarter Security turnstile products in primary search; no GlassGate Capital sponsor surfaces. No 50M energy-access fund vintage 2016 under Brenninkmeijer/Bregal/GoodEnergies umbrella found in 6 web searches. Operator should triage entry name + sponsor before announce-date enrichment is meaningful. URLs: https://www.prnewswire.com/news-releases/good-energies-capital-announces-name-change-to-become-bregal-energy-157758905.html ; https://www.porticus.com/what-we-do/earth/good-energies-foundation/ ; https://inforcapital.com/companies/good-energies/"
bamboo-bloc-smart-africa,Bamboo Capital BLOC Smart Africa,2026-05-04,success_distinct,2019-05-16,https://bamboocp.com/bamboo-capital-partners-and-smart-africa-join-forces-for-first-of-its-kind-blended-finance-technology-impact-fund/,"Bamboo Capital Partners primary press release dated 16 May 2019: ""Bamboo Capital Partners has signed a partnership with Smart Africa to support BLOC, the first-of-its-kind blended finance technology impact fund (BLOC) managed by Bamboo... The partnership was announced today at the Transform Africa Summit in Kigali, Rwanda, in a signing ceremony between Lacina Kone, Director General of Smart Africa and Bamboo Managing Partners Jean-Philippe de Schrevel and Florian Kemmerich."" ~17 months before the 2020-11-01 first close. Distinct from the separate 2021 Luxembourg + Cote d Ivoire anchor-sponsor close announcement."
aavishkaar-india-vi,Aavishkaar India Fund VI,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: YAML first_close_date 2019-01-01 and vintage 2019 are wrong. Multiple primary/credible sources confirm actual first close was 2022-04-06 at USD 130M, anchored by BII, SIFEM, SIDBI FFS, SRI Fund. Adding announce_date against the wrong 2019-01-01 first_close would produce nonsense timeline_days. Operator must correct vintage->2022 and first_close_date->2022-04-06, then delete this CSV row to re-enrich. URLs: https://www.microcapital.org/microcapital-brief-aavishkaar-india-fund-vi-nets-130m-for-msmes-addressing-climate-change-agtech-fintech-anchored-by-public-funding-from-domestic-european-sources/ ; https://thecapitalquest.com/2022/04/06/aavishkaar-fund-hits-first-close-speciales-second-vc-fund-oversubscribed/ ; https://www.dealstreetasia.com/stories/aavishkaar-capital-sixth-fund-371094"
omnivore-iii,Omnivore Fund III,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: YAML first_close_date 2022-03-01 is wrong. Two independent primary sources confirm actual first close was 2023-06-28 at USD 150M, with launch dated April 2022. Omnivore Medium 2023-06-28: ""The Omnivore Agritech & Climate Sustainability Fund, which was launched in April 2022, will continue focusing on startups developing breakthrough technologies..."". Operator must correct vintage->2023 and first_close_date->2023-06-28, then delete this CSV row to re-enrich (announce_date 2022-04 month-only would then apply, ~14 month gap). URLs: https://omnivore-vc.medium.com/omnivore-announces-first-close-of-third-fund-at-150-million-fdf921608e53 ; https://globalaginvesting.com/omnivore-agritech-climate-sustainability-fund-announces-first-close-at-150m/ ; https://agfundernews.com/brief-omnivore-announces-first-close-of-third-fund-with-150m-to-pump-into-indias-agrifoodtech-startups"
tpg-rise-ii,The Rise Fund II,2026-05-04,success_distinct,2018-12-03,https://www.privateequityinternational.com/tpg-eyes-3-5bn-rise-fund-ii/,"PEI 2018-12-03 (sourced to NJ State Investment Council memo): ""TPG is preparing to raise US.5b for its second impact investing fund, The Rise Fund II"" / ""The vehicle will be established next year to pursue the same strategy as its USD 2bn 2017-vintage predecessor"". First public surfacing of fund existence and active raise. Corroborated by Venture Capital Journal 2018-12-04 (paywalled) and LAVCA (403). TPG itself did not issue a self-branded launch press release — upper-cap PE convention is to leak via LP procurement memos. ~272 days before 2019-09-01 first close."
adobe-capital-mexico,Adobe Capital Mexico,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: YAML first_close_date 2013-01-01 is a year-only placeholder and is wrong. Per LAVCA 2013-04-10 reporting (""On November 30, 2012, Adobe Capital launched its first impact investment fund... the fund commenced operations with US$15 million in committed capital""), the fund is structurally a same-day announce/close on 2012-11-30. Adding announce_date 2012-11-30 against current first_close 2013-01-01 would produce ~32-day gap based on a wrong close date. Operator must correct first_close_date->2012-11-30 (and reconsider vintage->2012), then delete this CSV row to re-enrich (would land as success_same_day). URLs: https://lavca.org/2013/04/10/adobe-capital-launches-flagship-impact-investment-fund (403 direct, surfaced via search snippet); https://www.idbinvest.org/en/projects/adobe-social-mezzanine-fund-i-limited-partnership; https://adobecapital.com/ (ECONNREFUSED)."
creation-investments-iv,Creation Investments Social Venture Fund IV,2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: YAML first_close_date 2019-01-01 is a year-only placeholder and is contradicted by primary-source SEC Form D. Form D filing 2018-09-07; Form D ""date of first sale"" 2018-02-15 ($116.9M sold). Form D filing post-dates first sale by ~7 months, so there is no separate earlier announce_date in the public record — Form D IS the first public trace, and it post-dates the actual first sale. Operator must correct first_close_date->2018-02-15 (per Form D primary), then delete this CSV row to re-enrich (would likely land as not_in_public_record honestly). URLs: https://creationinvestments.com/news/ (no Fund IV mention); https://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=0001731987 (Form D primary, sec.gov 403 to fetch); https://aum13f.com/fund/creation-investments-social-ventures-fund-iv-lp (mirror confirms 2018-02-15 first sale, $116.9M)."
incofin-agrif,Incofin agRIF,2026-05-04,success_distinct,2014-12-05,https://www.eib.org/en/projects/pipelines/all/20140115,"EIB project pipeline release for AGRIF (project ref 20140115): ""Release Date: 5 December 2014"" / signature 2015-06-18. Per established CSV precedent (fefisol-i, fefisol-ii, waterequity-gaf3), an EIB project pipeline release date for an EIB-anchored fund counts as primary-source announce. ~331 days before 2015-11-01 first close."
ifc-aip,IFC AMC Africa Investment Partners (AIP),2026-05-04,not_in_public_record,,,"DATA-QUALITY FLAG: fund identity suspect. No fund called Africa Investment Partners (AIP) appears in IFC AMC portfolio at https://www.ifcamc.org/portfolio. AIP acronym in DFI literature most commonly refers to EU/EIB Africa Investment Platform (https://www.eib.org/en/products/mandates-partnerships/aip/index), not an IFC AMC vehicle. IFC AMC has been in wind-down since ~2017, making a 2022 vintage emerging-manager FoF launch under AMC unlikely. Possible intended referents: African Development Partners III (DPI, IFC AMC LP), IFC Startup Catalyst / VC platform (Nov 2022), or EIB Africa Investment Platform. Operator should verify fund name + manager attribution before announce-date enrichment is meaningful. URLs checked: https://www.ifcamc.org/news (403); https://www.ifcamc.org/portfolio; https://www.ifcamc.org/fundfamily/fund-funds (404)."
gfcr-global-fund-for-coral-reefs,Global Fund for Coral Reefs (GFCR),2026-05-04,success_distinct,2018-10,https://icriforum.org/global-fund-for-coral-reefs/,"ICRI 2018-11-03 (write-up of 5th Our Ocean Conference, Bali, 29-30 Oct 2018): ""At the occasion of the 5th Our Ocean conference, the Prince Albert II of Monaco Foundation and Vulcan committed to invest each $250,000 as initial seed funding to launch the new fund."" Headlined ""Cornerstone Partners to Launch a Global Fund to Save the World's Coral Reefs"" with explicit invitation for additional cornerstone partners (active raise underway). Month-precision (29-30 Oct conference span); ~22 months before 2020-09-16 first close. Corroborated by FPA2 press release and Conservation Finance Alliance write-up 2019-02-27. Sept 2018 Monaco workshop is internal design event, not public announcement."
good-fashion-fund,Good Fashion Fund,2026-05-04,success_same_day,2019-09-01,https://www.fashionforgood.com/our_news/good-fashion-fund-launches-to-invest-in-supply-chain-innovation/,"Fashion for Good 2019-09-04 Amsterdam press release: ""AMSTERDAM- The Good Fashion Fund launches today, spearheading systemic change in the apparel and footwear supply chain by investing in the implementation of innovative technologies in India, Bangladesh and Vietnam."" Public unveiling at Hong Kong Fashion Summit 2019-09-05. DATA-QUALITY FLAG: announce (2019-09-04) is 3 days AFTER first_close_date on file (2019-09-01) — first_close_date is almost certainly month-only convention placeholder for September 2019; pre-arranged-close pattern with private anchor commitments (Laudes/C&A Foundation, Mills Fabrica) before public unveiling. Recorded as success_same_day per intent (announce ≈ close, same operational launch window). Operator may want to refine first_close_date to 2019-09-04 month-precision. Corroborated by goodfashionfund.com/news and PR Newswire mirror."
impact-linked-fund-education,Impact-Linked Fund for Education (ILFE),2026-05-04,success_same_day,2021-12-01,https://jacobsfoundation.org/new-impact-linked-fund-for-education/,"Jacobs Foundation news article 2021-12-01: ""In December 2021, this open-ended fund secured commitments of CHF 6 million from Swiss-based Jacobs Foundation and the Swiss Agency for Development and Cooperation (SDC) in a first closing."" Press-release PDF (https://jacobsfoundation.org/wp-content/uploads/2021/12/Press-Release-Launch-Impact-Linked-Fund-for-Education-Dec.-2021.pdf) headline ""Zurich & Frankfurt / 1. December 2021 — New Impact-Linked Fund to boost inclusive and equitable education."" Launch press release issued same day as first close. No earlier separate announce surfaced across ilf-fund.org, jacobsfoundation.org, Roots of Impact, Convergence, iGravity searches."
transform-health-fund,Transform Health Fund,2026-05-04,success_distinct,2022-12-14,https://www.malarianomore.org/news/press-releases/transform-health-fund-announced-at-u-s-africa-leaders-summit/,"Malaria No More / Health Finance Coalition press release 2022-12-14 (mirrored on GlobeNewswire): ""Washington, DC, December 14, 2022 — The Health Finance Coalition (HFC) and AfricInvest today announced pledged commitments of $50 million for the pan-African Transform Health Fund, to finance the scaling of proven, innovative models that improve access, affordability, resilience, and quality of healthcare in Africa."" Announcement coincided with U.S.-Africa Leaders Summit; pledged-not-locked $50M target. ~261 days before 2023-09-01 first close."
meloy-fund-i,"Meloy Fund I, LP",2026-05-04,success_distinct,2016-12-19,https://www.prweb.com/releases/fisheries_focused_impact_investment_fund_announces_first_deal/prweb13928901.htm,"PRWeb 2016-12-19: ""Arlington, VA (PRWEB) December 19, 2016 — Today Rare's Sustainable Markets Group announced a US$1 million-dollar investment in Philippines-based seafood company, Meliomar Inc. This marks the first investment by the Meloy Fund for Sustainable Small-Scale Fisheries in Southeast Asia... Launching in 2017, the Meloy Fund is a first-of-its-kind impact investment fund focused on coastal fisheries in Indonesia and the Philippines. Investors include the Global Environment Facility (GEF) and the Jeremy and Hannelore Grantham Environmental Trust..."" First public unveiling of fund existence + named LPs + active raise. ~228 days before 2017-08-04 first close. Bonus finding for operator: Jeremy & Hannelore Grantham Environmental Trust named as additional LP, not currently in fund notes."
